screenshot_path,domain,hash_id,is_phishing
data/raw\screenshots\phishing\d26hpdecvhwn5s.cloudfront.net_c8e02ff8.png,d26hpdecvhwn5s.cloudfront.net,c8e02ff8,1
data/raw\screenshots\phishing\551001k.cc_894f6f88.png,551001k.cc,894f6f88,1
data/raw\screenshots\legit\www.alipay.com_793b9f85.png,www.alipay.com,793b9f85,0
data/raw\screenshots\phishing\kucoin8866.vip_1c01f95f.png,kucoin8866.vip,1c01f95f,1
data/raw\screenshots\legit\deepai.org_694eecdb.png,deepai.org,694eecdb,0
data/raw\screenshots\phishing\harishacharya.in_60859a4a.png,harishacharya.in,60859a4a,1
data/raw\screenshots\phishing\a.656602.com_0bd77832.png,a.656602.com,0bd77832,1
data/raw\screenshots\legit\www.youporn.com_23b0a1e9.png,www.youporn.com,23b0a1e9,0
data/raw\screenshots\legit\www.webdav.org_af502126.png,www.webdav.org,af502126,0
data/raw\screenshots\legit\mk.ru_45a02ab6.png,mk.ru,45a02ab6,0
data/raw\screenshots\legit\prodoctorov.ru_31888209.png,prodoctorov.ru,31888209,0
data/raw\screenshots\phishing\2.788897.xyz_29ed127b.png,2.788897.xyz,29ed127b,1
data/raw\screenshots\phishing\mail.mingrad.ru_473c2b67.png,mail.mingrad.ru,473c2b67,1
data/raw\screenshots\legit\webdav.org_f52c48d5.png,webdav.org,f52c48d5,0
data/raw\screenshots\legit\www.pingdom.com_0bafe0d1.png,www.pingdom.com,0bafe0d1,0
data/raw\screenshots\phishing\551003k.cc_d32db19c.png,551003k.cc,d32db19c,1
data/raw\screenshots\phishing\365top1.cc_d6fbc010.png,365top1.cc,d6fbc010,1
data/raw\screenshots\phishing\1056672.com_c8fca839.png,1056672.com,c8fca839,1
data/raw\screenshots\legit\www.quora.com_831455e0.png,www.quora.com,831455e0,0
data/raw\screenshots\legit\www.scholastic.com_77b18df6.png,www.scholastic.com,77b18df6,0
data/raw\screenshots\legit\quip.com_1363f56d.png,quip.com,1363f56d,0
data/raw\screenshots\phishing\87878y.com_92a02ae5.png,87878y.com,92a02ae5,1
data/raw\screenshots\legit\www.upmc.com_7f7dc89c.png,www.upmc.com,7f7dc89c,0
data/raw\screenshots\phishing\89988v.com_3d164f3f.png,89988v.com,3d164f3f,1
data/raw\screenshots\legit\www.ilgazzettino.it_bb8ba773.png,www.ilgazzettino.it,bb8ba773,0
data/raw\screenshots\phishing\tokmn.im_5279eead.png,tokmn.im,5279eead,1
data/raw\screenshots\phishing\m.kucoin321.top_4d4164dd.png,m.kucoin321.top,4d4164dd,1
data/raw\screenshots\phishing\bet6666.bet_650c73f8.png,bet6666.bet,650c73f8,1
data/raw\screenshots\phishing\xzgt120.com_d4b6abf0.png,xzgt120.com,d4b6abf0,1
data/raw\screenshots\legit\cafebazaar.ir_db8b2a79.png,cafebazaar.ir,db8b2a79,0
data/raw\screenshots\legit\www.spotify.com_ccb1e4cd.png,www.spotify.com,ccb1e4cd,0
data/raw\screenshots\phishing\cgd-espera.com_9d96d829.png,cgd-espera.com,9d96d829,1
data/raw\screenshots\phishing\url.in.th_0e37299c.png,url.in.th,0e37299c,1
data/raw\screenshots\legit\www.telegram.me_58e5be14.png,www.telegram.me,58e5be14,0
data/raw\screenshots\legit\appfoundry.mypurecloud.com_602828bc.png,appfoundry.mypurecloud.com,602828bc,0
data/raw\screenshots\legit\www.google.de_1b1188c0.png,www.google.de,1b1188c0,0
data/raw\screenshots\phishing\808.top-qwe123-asd456-zxc789.yyssiocugseigqia.com_c1dd0236.png,808.top-qwe123-asd456-zxc789.yyssiocugseigqia.com,c1dd0236,1
data/raw\screenshots\legit\www.kennasecurity.com_743d0dc0.png,www.kennasecurity.com,743d0dc0,0
data/raw\screenshots\phishing\cerventanas.cl_33c2395a.png,cerventanas.cl,33c2395a,1
data/raw\screenshots\phishing\novashophub.com_30510b41.png,novashophub.com,30510b41,1
data/raw\screenshots\legit\www.getrushapp.com_0ec6933e.png,www.getrushapp.com,0ec6933e,0
data/raw\screenshots\legit\www.rnp.br_0771136f.png,www.rnp.br,0771136f,0
data/raw\screenshots\legit\sundaysky.com_6d1d20f2.png,sundaysky.com,6d1d20f2,0
data/raw\screenshots\phishing\qrco.de_b6ff31fd.png,qrco.de,b6ff31fd,1
data/raw\screenshots\phishing\protection.safelinks-office.com_18c91aac.png,protection.safelinks-office.com,18c91aac,1
data/raw\screenshots\legit\www.ctrip.com_c7ab77de.png,www.ctrip.com,c7ab77de,0
data/raw\screenshots\phishing\pi.piimaallchaiin.com_587f2bd3.png,pi.piimaallchaiin.com,587f2bd3,1
data/raw\screenshots\legit\www.alipay.com_33d0a264.png,www.alipay.com,33d0a264,0
data/raw\screenshots\phishing\www.5510006.top_d8012177.png,www.5510006.top,d8012177,1
data/raw\screenshots\phishing\buybitbuy.com_ed756ee0.png,buybitbuy.com,ed756ee0,1
data/raw\screenshots\legit\www.buffalo.edu_2db96ea0.png,www.buffalo.edu,2db96ea0,0
data/raw\screenshots\legit\www.boe.es_19eb325e.png,www.boe.es,19eb325e,0
data/raw\screenshots\legit\www.thewrap.com_1a25cb16.png,www.thewrap.com,1a25cb16,0
data/raw\screenshots\legit\www.zendesk.com_6a1a49db.png,www.zendesk.com,6a1a49db,0
data/raw\screenshots\phishing\sweetsix0.wixsite.com_0ebce989.png,sweetsix0.wixsite.com,0ebce989,1
data/raw\screenshots\legit\www.ipcc.ch_07ccb41f.png,www.ipcc.ch,07ccb41f,0
data/raw\screenshots\legit\spb.ru_1444fb2b.png,spb.ru,1444fb2b,0
data/raw\screenshots\phishing\f551008.cc_6f03909c.png,f551008.cc,6f03909c,1
data/raw\screenshots\phishing\telegrampw.cc_5f7023a2.png,telegrampw.cc,5f7023a2,1
data/raw\screenshots\legit\javhd.today_efabf34b.png,javhd.today,efabf34b,0
data/raw\screenshots\legit\www.rat.xxx_3b64bb25.png,www.rat.xxx,3b64bb25,0
data/raw\screenshots\legit\www.google.com.kw_81cb9bdf.png,www.google.com.kw,81cb9bdf,0
data/raw\screenshots\legit\doubleclick.net_49a29f94.png,doubleclick.net,49a29f94,0
data/raw\screenshots\phishing\gemini68.cc_a5283626.png,gemini68.cc,a5283626,1
data/raw\screenshots\phishing\saibovip1156.cc_c341fa97.png,saibovip1156.cc,c341fa97,1
data/raw\screenshots\legit\www.mobiledokan.com_48fb143e.png,www.mobiledokan.com,48fb143e,0
data/raw\screenshots\legit\dnevnik.ru_fa9f88a0.png,dnevnik.ru,fa9f88a0,0
data/raw\screenshots\legit\rst.ua_218f22c5.png,rst.ua,218f22c5,0
data/raw\screenshots\phishing\steamconmnunity.com_d652cd74.png,steamconmnunity.com,d652cd74,1
data/raw\screenshots\phishing\gjbfyb.com_d838ade7.png,gjbfyb.com,d838ade7,1
data/raw\screenshots\phishing\www.pinbo3656b.com_e6297515.png,www.pinbo3656b.com,e6297515,1
data/raw\screenshots\legit\www.mo.gov_040fc156.png,www.mo.gov,040fc156,0
data/raw\screenshots\legit\thaihubx.tv_c2af26ab.png,thaihubx.tv,c2af26ab,0
data/raw\screenshots\legit\www.asu.edu_6bef91ad.png,www.asu.edu,6bef91ad,0
data/raw\screenshots\legit\www.free.fr_d1722ab5.png,www.free.fr,d1722ab5,0
data/raw\screenshots\phishing\551004p.cc_b1e49937.png,551004p.cc,b1e49937,1
data/raw\screenshots\legit\www.strikingly.com_a61ac83f.png,www.strikingly.com,a61ac83f,0
data/raw\screenshots\phishing\f551005.cc_6242a7b4.png,f551005.cc,6242a7b4,1
data/raw\screenshots\phishing\www.p36577.com_32bbccf4.png,www.p36577.com,32bbccf4,1
data/raw\screenshots\phishing\ts757.cc_c9a8ff3b.png,ts757.cc,c9a8ff3b,1
data/raw\screenshots\phishing\culicamping.com_575242a4.png,culicamping.com,575242a4,1
data/raw\screenshots\legit\www.google.es_d3ba7b03.png,www.google.es,d3ba7b03,0
data/raw\screenshots\phishing\mejorahub.com_d57310c7.png,mejorahub.com,d57310c7,1
data/raw\screenshots\phishing\5510022.vip_9ef82776.png,5510022.vip,9ef82776,1
data/raw\screenshots\legit\www.osha.gov_aadc0194.png,www.osha.gov,aadc0194,0
data/raw\screenshots\legit\www.kiabi.com_87abec57.png,www.kiabi.com,87abec57,0
data/raw\screenshots\legit\Www.Google.de_ef761045.png,Www.Google.de,ef761045,0
data/raw\screenshots\phishing\www74566.com_8157c49e.png,www74566.com,8157c49e,1
data/raw\screenshots\legit\www.dondominio.com_f8162aa3.png,www.dondominio.com,f8162aa3,0
data/raw\screenshots\legit\www.tampabay.com_d418a418.png,www.tampabay.com,d418a418,0
data/raw\screenshots\legit\naturecaptions.com_eb637080.png,naturecaptions.com,eb637080,0
data/raw\screenshots\phishing\checkpoint-freemobile.com_72234446.png,checkpoint-freemobile.com,72234446,1
data/raw\screenshots\phishing\yztrlw.com_b255ac57.png,yztrlw.com,b255ac57,1
data/raw\screenshots\legit\www.cri.cn_87689304.png,www.cri.cn,87689304,0
data/raw\screenshots\legit\www.electrek.co_199b4df8.png,www.electrek.co,199b4df8,0
data/raw\screenshots\legit\monday.com_177822f1.png,monday.com,177822f1,0
data/raw\screenshots\phishing\sacop.edu.in_bad6485f.png,sacop.edu.in,bad6485f,1
data/raw\screenshots\phishing\reklamaallegroads.pl_45caf7c0.png,reklamaallegroads.pl,45caf7c0,1
data/raw\screenshots\phishing\bankofamerica-qa.azurewebsites.net_ebc4a4f6.png,bankofamerica-qa.azurewebsites.net,ebc4a4f6,1
data/raw\screenshots\legit\nianticlabs.com_f0155728.png,nianticlabs.com,f0155728,0
data/raw\screenshots\phishing\th.tkshopp.blog_f6db82df.png,th.tkshopp.blog,f6db82df,1
data/raw\screenshots\phishing\9765vip20.com_6855397c.png,9765vip20.com,6855397c,1
data/raw\screenshots\phishing\paypalloginin-usa.blogspot.rs_9c380b44.png,paypalloginin-usa.blogspot.rs,9c380b44,1
data/raw\screenshots\phishing\f551009.cc_d0fa849e.png,f551009.cc,d0fa849e,1
data/raw\screenshots\phishing\sklep.premium.pl_7eadb970.png,sklep.premium.pl,7eadb970,1
data/raw\screenshots\legit\www.drift.com_3317255a.png,www.drift.com,3317255a,0
data/raw\screenshots\phishing\httpss-www-robiox.com_4d3c56fb.png,httpss-www-robiox.com,4d3c56fb,1
data/raw\screenshots\phishing\387yabo.com_16cdd373.png,387yabo.com,16cdd373,1
data/raw\screenshots\phishing\blm123.net_4b17758f.png,blm123.net,4b17758f,1
data/raw\screenshots\legit\www.joomla.org_dbad5e86.png,www.joomla.org,dbad5e86,0
data/raw\screenshots\legit\amp.dispatch.com_a786cbb1.png,amp.dispatch.com,a786cbb1,0
data/raw\screenshots\legit\sandai.net_4870c0ac.png,sandai.net,4870c0ac,0
data/raw\screenshots\legit\buffalo.edu_88dfc10e.png,buffalo.edu,88dfc10e,0
data/raw\screenshots\legit\www.arduino.cc_92300e9e.png,www.arduino.cc,92300e9e,0
data/raw\screenshots\legit\rst.ua_02052698.png,rst.ua,02052698,0
data/raw\screenshots\phishing\redwhatsapp.com_d6ae1fd3.png,redwhatsapp.com,d6ae1fd3,1
data/raw\screenshots\legit\www.kooora.com_c8219977.png,www.kooora.com,c8219977,0
data/raw\screenshots\legit\www.asu.edu_d6f7b34e.png,www.asu.edu,d6f7b34e,0
data/raw\screenshots\legit\www.spamhaus.org_e3335544.png,www.spamhaus.org,e3335544,0
data/raw\screenshots\phishing\m.dancingmummy.com_d5ab4a89.png,m.dancingmummy.com,d5ab4a89,1
data/raw\screenshots\legit\inwporn.com_73e51dba.png,inwporn.com,73e51dba,0
data/raw\screenshots\legit\www.worldatlas.com_071ff674.png,www.worldatlas.com,071ff674,0
data/raw\screenshots\legit\www.zoznam.sk_11c53482.png,www.zoznam.sk,11c53482,0
data/raw\screenshots\phishing\www.r.oblox.com.co_30953f10.png,www.r.oblox.com.co,30953f10,1
data/raw\screenshots\phishing\tk3308.com_b71bb3dc.png,tk3308.com,b71bb3dc,1
data/raw\screenshots\legit\www.visualstudio.com_9bf382c2.png,www.visualstudio.com,9bf382c2,0
data/raw\screenshots\phishing\www.mpxpcjl.cn_128e0daa.png,www.mpxpcjl.cn,128e0daa,1
data/raw\screenshots\legit\www.foodnetwork.com_87811544.png,www.foodnetwork.com,87811544,0
data/raw\screenshots\legit\www.anshinnavi.auone.jp_0eeeb8aa.png,www.anshinnavi.auone.jp,0eeeb8aa,0
data/raw\screenshots\phishing\zltqlxkj.com_b7c1c28d.png,zltqlxkj.com,b7c1c28d,1
data/raw\screenshots\phishing\020saibo.com_82024f7c.png,020saibo.com,82024f7c,1
data/raw\screenshots\legit\www.google.com.py_39fcfa93.png,www.google.com.py,39fcfa93,0
data/raw\screenshots\phishing\cgdparticulares.com_f0c3429e.png,cgdparticulares.com,f0c3429e,1
data/raw\screenshots\legit\documentation.hyprmx.com_0b1e18db.png,documentation.hyprmx.com,0b1e18db,0
data/raw\screenshots\phishing\mail1.systemone.com_9143cae1.png,mail1.systemone.com,9143cae1,1
data/raw\screenshots\legit\www.mulesoft.com_f3fc0824.png,www.mulesoft.com,f3fc0824,0
data/raw\screenshots\legit\www.edweek.org_db524cd9.png,www.edweek.org,db524cd9,0
data/raw\screenshots\phishing\www.pinbo87.com_30993fed.png,www.pinbo87.com,30993fed,1
data/raw\screenshots\legit\www.serverwatch.com_fe4c482a.png,www.serverwatch.com,fe4c482a,0
data/raw\screenshots\legit\www.google.com.ag_8b51d52a.png,www.google.com.ag,8b51d52a,0
data/raw\screenshots\legit\www.kurir.rs_a80f26d5.png,www.kurir.rs,a80f26d5,0
data/raw\screenshots\phishing\757813.com_5c0c3a76.png,757813.com,5c0c3a76,1
data/raw\screenshots\legit\www.anv.ddnss.de_a0c90db5.png,www.anv.ddnss.de,a0c90db5,0
data/raw\screenshots\legit\www.squirt.org_6b932ec4.png,www.squirt.org,6b932ec4,0
data/raw\screenshots\legit\hentaila.tv_672bd277.png,hentaila.tv,672bd277,0
data/raw\screenshots\phishing\s7j6x.com_5a0f90bb.png,s7j6x.com,5a0f90bb,1
data/raw\screenshots\phishing\888881kj.com_b452bb8e.png,888881kj.com,b452bb8e,1
data/raw\screenshots\phishing\lisanattifoods.com_c625a94d.png,lisanattifoods.com,c625a94d,1
data/raw\screenshots\legit\www.csmonitor.com_fbce643d.png,www.csmonitor.com,fbce643d,0
data/raw\screenshots\legit\www.myntra.com_9b19145b.png,www.myntra.com,9b19145b,0
data/raw\screenshots\phishing\857261m493rx.com_8b35eafa.png,857261m493rx.com,8b35eafa,1
data/raw\screenshots\legit\www.xavierciret_free.fr_ff40b936.png,www.xavierciret,free,0
data/raw\screenshots\legit\appmedia.jp_a644be85.png,appmedia.jp,a644be85,0
data/raw\screenshots\phishing\j551003.cc_4243a0ba.png,j551003.cc,4243a0ba,1
data/raw\screenshots\legit\justhost.ru_262b79fc.png,justhost.ru,262b79fc,0
data/raw\screenshots\legit\pch.com_72260ae6.png,pch.com,72260ae6,0
data/raw\screenshots\legit\easytrader.ir_c5c90206.png,easytrader.ir,c5c90206,0
data/raw\screenshots\phishing\paypalloginin-usa.blogspot.kr_8ef3a170.png,paypalloginin-usa.blogspot.kr,8ef3a170,1
data/raw\screenshots\legit\hamyar.in_326533d3.png,hamyar.in,326533d3,0
data/raw\screenshots\phishing\l0ginsecion.webcindario.com_2b674593.png,l0ginsecion.webcindario.com,2b674593,1
data/raw\screenshots\legit\www.hotstar.com_39665867.png,www.hotstar.com,39665867,0
data/raw\screenshots\phishing\wiki.147474.com_fd2c2d1f.png,wiki.147474.com,fd2c2d1f,1
data/raw\screenshots\legit\www.tomshardware.com_3fc77381.png,www.tomshardware.com,3fc77381,0
data/raw\screenshots\legit\beastiality.tv_fbf1c7d5.png,beastiality.tv,fbf1c7d5,0
data/raw\screenshots\legit\www.sexvid.pro_66decabb.png,www.sexvid.pro,66decabb,0
data/raw\screenshots\legit\miro.com_443_42892d7b.png,miro.com,443,0
data/raw\screenshots\phishing\cs-portalintranet.com_d60c79fc.png,cs-portalintranet.com,d60c79fc,1
data/raw\screenshots\legit\www.naslovi.net_6aedba06.png,www.naslovi.net,6aedba06,0
data/raw\screenshots\phishing\106344.com_39334644.png,106344.com,39334644,1
data/raw\screenshots\phishing\77877bb.com_ea13df4b.png,77877bb.com,ea13df4b,1
data/raw\screenshots\phishing\l2024163.com_2003bf4a.png,l2024163.com,2003bf4a,1
data/raw\screenshots\legit\nyaa.si_5840a9d0.png,nyaa.si,5840a9d0,0
data/raw\screenshots\legit\naslovi.net_44916e2e.png,naslovi.net,44916e2e,0
data/raw\screenshots\legit\tuma.jp_1ccf77c4.png,tuma.jp,1ccf77c4,0
data/raw\screenshots\legit\liteapks.com_4ba9c134.png,liteapks.com,4ba9c134,0
data/raw\screenshots\legit\uyrist74_yandex.ru_414ff493.png,uyrist74,yandex,0
data/raw\screenshots\phishing\secure.dhlguestmanagement.com_be2368d1.png,secure.dhlguestmanagement.com,be2368d1,1
data/raw\screenshots\legit\tuma.jp_32831543.png,tuma.jp,32831543,0
data/raw\screenshots\phishing\www.5151ma.com_cbebb28c.png,www.5151ma.com,cbebb28c,1
data/raw\screenshots\phishing\www.tiktokglobalonline.com_ba362423.png,www.tiktokglobalonline.com,ba362423,1
data/raw\screenshots\legit\liteapks.com_d1500eba.png,liteapks.com,d1500eba,0
data/raw\screenshots\legit\radiospi.api.bbci.co.uk_07070ed0.png,radiospi.api.bbci.co.uk,07070ed0,0
data/raw\screenshots\phishing\pl.europopet.shop_d329f69b.png,pl.europopet.shop,d329f69b,1
data/raw\screenshots\legit\cms.megaphone.fm_583cc0b8.png,cms.megaphone.fm,583cc0b8,0
data/raw\screenshots\legit\bloomingdales.com_e7f20955.png,bloomingdales.com,e7f20955,0
data/raw\screenshots\legit\www.ilgiornale.it_6eb33e9f.png,www.ilgiornale.it,6eb33e9f,0
data/raw\screenshots\legit\tucows.com_834bff52.png,tucows.com,834bff52,0
data/raw\screenshots\legit\www.world.co.jp_0de2c94d.png,www.world.co.jp,0de2c94d,0
data/raw\screenshots\phishing\bet938u.com_de169edf.png,bet938u.com,de169edf,1
data/raw\screenshots\legit\sketchup.com_5dc69151.png,sketchup.com,5dc69151,0
data/raw\screenshots\legit\centurylink.net_1e76fca6.png,centurylink.net,1e76fca6,0
data/raw\screenshots\phishing\7865s.com_16792e2e.png,7865s.com,16792e2e,1
data/raw\screenshots\phishing\s.team-r.cc_10776eaa.png,s.team-r.cc,10776eaa,1
data/raw\screenshots\legit\l-tike.com_2d8b34cf.png,l-tike.com,2d8b34cf,0
data/raw\screenshots\legit\cdbaby.com_2cda4ffe.png,cdbaby.com,2cda4ffe,0
data/raw\screenshots\legit\hamyar.in_1ffe7e6c.png,hamyar.in,1ffe7e6c,0
data/raw\screenshots\legit\www.strikingly.com_6ae6aa02.png,www.strikingly.com,6ae6aa02,0
data/raw\screenshots\legit\www.google.md_4c2bee1a.png,www.google.md,4c2bee1a,0
data/raw\screenshots\legit\www.wikia.com_2abe72a3.png,www.wikia.com,2abe72a3,0
data/raw\screenshots\phishing\wap.showmebill.com_ac034960.png,wap.showmebill.com,ac034960,1
data/raw\screenshots\legit\www.google.rs_8b7c8eee.png,www.google.rs,8b7c8eee,0
data/raw\screenshots\legit\www.datastax.com_684b9429.png,www.datastax.com,684b9429,0
data/raw\screenshots\phishing\axrpsbfzlmqok.ink_109c0c7f.png,axrpsbfzlmqok.ink,109c0c7f,1
data/raw\screenshots\phishing\www.blockchainmail.net_48ed5ebd.png,www.blockchainmail.net,48ed5ebd,1
data/raw\screenshots\phishing\www.seosmmblog.com_86cd53ab.png,www.seosmmblog.com,86cd53ab,1
data/raw\screenshots\legit\www.eurosport.com_d0a6eeab.png,www.eurosport.com,d0a6eeab,0
data/raw\screenshots\phishing\55100009.cc_88e49b9c.png,55100009.cc,88e49b9c,1
data/raw\screenshots\legit\baycrews.jp_ead62c33.png,baycrews.jp,ead62c33,0
data/raw\screenshots\legit\www.sexvid.xxx_4af6e86e.png,www.sexvid.xxx,4af6e86e,0
data/raw\screenshots\phishing\instagram.archive.com.im_914cd9e6.png,instagram.archive.com.im,914cd9e6,1
data/raw\screenshots\phishing\saibo0108.cc_df435e8e.png,saibo0108.cc,df435e8e,1
data/raw\screenshots\phishing\azexpressbd.com_f348a699.png,azexpressbd.com,f348a699,1
data/raw\screenshots\phishing\551000m.cc_8dbbb3a3.png,551000m.cc,8dbbb3a3,1
data/raw\screenshots\legit\chishi.ir_dec94d05.png,chishi.ir,dec94d05,0
data/raw\screenshots\phishing\www.labbett-artists.com_a66904c3.png,www.labbett-artists.com,a66904c3,1
data/raw\screenshots\phishing\serviciospatito.com_bdefd311.png,serviciospatito.com,bdefd311,1
data/raw\screenshots\phishing\s.teamn.cc_05c7da97.png,s.teamn.cc,05c7da97,1
data/raw\screenshots\phishing\login0365organizationsigning.com_a3871d57.png,login0365organizationsigning.com,a3871d57,1
data/raw\screenshots\legit\www.wordreference.com_068cc7ed.png,www.wordreference.com,068cc7ed,0
data/raw\screenshots\legit\www.instacart.com_484050d1.png,www.instacart.com,484050d1,0
data/raw\screenshots\legit\www.ucalgary.ca_f4ddafcb.png,www.ucalgary.ca,f4ddafcb,0
data/raw\screenshots\legit\appmedia.jp_02b4525b.png,appmedia.jp,02b4525b,0
data/raw\screenshots\legit\www4.icims.com_e4b5a31e.png,www4.icims.com,e4b5a31e,0
data/raw\screenshots\legit\www.tokyomotion.net_b0dd7bc1.png,www.tokyomotion.net,b0dd7bc1,0
data/raw\screenshots\legit\www.thewrap.com_a4e200b7.png,www.thewrap.com,a4e200b7,0
data/raw\screenshots\phishing\telegramfy.cc_a1bab80b.png,telegramfy.cc,a1bab80b,1
data/raw\screenshots\legit\www.browserstack.com_3906b512.png,www.browserstack.com,3906b512,0
data/raw\screenshots\legit\www.avg.com_824d04f5.png,www.avg.com,824d04f5,0
data/raw\screenshots\phishing\xxxxxxxxxxxxxxxxxxx.top_41085de8.png,xxxxxxxxxxxxxxxxxxx.top,41085de8,1
data/raw\screenshots\phishing\www.shorten.ee_d93c12bb.png,www.shorten.ee,d93c12bb,1
data/raw\screenshots\phishing\w12377.com_1df8cbda.png,w12377.com,1df8cbda,1
data/raw\screenshots\phishing\mikebniumbzn.top_8c716df2.png,mikebniumbzn.top,8c716df2,1
data/raw\screenshots\legit\baycrews.jp_cd6afbc5.png,baycrews.jp,cd6afbc5,0
data/raw\screenshots\legit\www.tenable.com_2666d27d.png,www.tenable.com,2666d27d,0
data/raw\screenshots\legit\help.glance.net_6f3817ff.png,help.glance.net,6f3817ff,0
data/raw\screenshots\legit\www.ghanaweb.com_ab8520a3.png,www.ghanaweb.com,ab8520a3,0
data/raw\screenshots\legit\tuoitre.vn_3d2f94c8.png,tuoitre.vn,3d2f94c8,0
data/raw\screenshots\phishing\www.nakulfreelancer.in_8c82d626.png,www.nakulfreelancer.in,8c82d626,1
data/raw\screenshots\legit\www.focus-news.net_6dda0655.png,www.focus-news.net,6dda0655,0
data/raw\screenshots\phishing\drsangitareddy.com_d40c6151.png,drsangitareddy.com,d40c6151,1
data/raw\screenshots\phishing\www.nilaservices.fr_8854f473.png,www.nilaservices.fr,8854f473,1
data/raw\screenshots\phishing\www.ivmerchantcompany.com_d307d7e9.png,www.ivmerchantcompany.com,d307d7e9,1
data/raw\screenshots\legit\www.ghostery.com_443_f15a3511.png,www.ghostery.com,443,0
data/raw\screenshots\legit\www.engadget.com_8e17f5ca.png,www.engadget.com,8e17f5ca,0
data/raw\screenshots\phishing\spoonriver.com_c3b19078.png,spoonriver.com,c3b19078,1
